
Cluster number: 97,	entropy: 0.3221376895111892

Cluster number: 95,	entropy: 0.24246935088471916

Cluster number: 116,	entropy: 0.24317771246576808

Cluster number: 48,	entropy: 0.15550524605983257

Cluster number: 128,	entropy: 0.3060117125777714

Cluster number: 117,	entropy: 1.223931486801281

Cluster number: 73,	entropy: 0.24207274033905118

Cluster number: 32,	entropy: 0.30325189149497606

Cluster number: 27,	entropy: 0.17073023208971574

Cluster number: 0,	entropy: 0.6066927576279119

Cluster number: 42,	entropy: 0.34657359027997264

Cluster number: 102,	entropy: 0.32628626594763555

Cluster number: 124,	entropy: 0.5256890667173422

Cluster number: 141,	entropy: 0.18955593943297283

Cluster number: 143,	entropy: 0.5638950906775194

Cluster number: 8,	entropy: 0.31048093197455273

Cluster number: 7,	entropy: 0.32119805400999873

Cluster number: 44,	entropy: 0.5248186207944505

Cluster number: 88,	entropy: 0.9971879699368305

Cluster number: 68,	entropy: 0.2986265782046758

Cluster number: 129,	entropy: 0.13384634943616114

Cluster number: 147,	entropy: 1.0123416498102986
